"EMPLOYEE_ID","DEPARTMENT_ID"
100,90
101,90
102,90
103,60
104,60
105,60
106,60
107,60
108,100
109,100
110,100
111,100
112,100
113,100
114,30
115,30
116,30
117,30
118,30
119,30
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,80
146,80
147,80
148,80
149,80
150,80
151,80
152,80
153,80
154,80
155,80
156,80
157,80
158,80
159,80
160,80
161,80
162,80
163,80
164,80
165,80
166,80
167,80
168,80
169,80
170,80
171,80
172,80
173,80
174,80
175,80
176,80
177,80
178,
179,80
180,50
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,50
200,10
201,20
202,20
203,40
204,70
205,110
206,110
