test#,time
0,0.053644
1,0.048161
2,0.041008
3,0.038862
4,0.037193
5,0.03767
6,0.036716
7,0.036478
8,0.03624
9,0.036716
10,0.036478
11,0.036716
12,0.03624
13,0.036716
14,0.035763
15,0.036001
16,0.03624
17,0.03624
18,0.03624
19,0.03624
20,0.036001
21,0.03624
22,0.03624
23,0.03624
24,0.036001
25,0.036001
26,0.035763
27,0.053644
28,0.041246
29,0.036955
30,0.036716
31,0.03624
32,0.03624
33,0.035763
34,0.035763
35,0.036001
36,0.036001
37,0.035763
38,0.035763
39,0.035763
40,0.035763
41,0.035763
42,0.036001
43,0.040293
44,0.036478
45,0.03624
46,0.03624
47,0.036478
48,0.03624
49,0.03624
