test#,time
0,1.034737
1,0.519276
2,0.482559
3,0.462294
4,0.464439
5,0.47636
6,0.469446
7,0.467062
8,0.47183
9,0.413895
10,0.379801
11,0.682116
12,0.413895
13,0.405073
14,0.436306
15,0.418901
16,0.483751
17,0.464201
18,0.443697
19,0.375986
20,0.365019
21,0.386715
22,0.368834
23,0.399351
24,0.381947
25,0.412941
26,0.439405
27,0.37384
28,0.39053
29,0.389338
30,0.360012
31,0.411034
32,0.413895
33,0.47493
34,0.438929
35,0.43273
36,0.394583
37,0.379324
38,0.360966
39,0.380993
40,0.367165
41,0.360489
42,0.368357
43,0.369072
44,0.413418
45,0.414848
46,0.406504
47,0.376225
48,0.39649
49,0.381231
