test#,time
0,1.708508
1,1.342773
2,1.18947
3,0.798225
4,0.712633
5,0.670433
6,0.697136
7,0.893116
8,0.879765
9,0.847816
10,0.818253
11,0.824213
12,0.773668
13,0.756979
14,0.761747
15,0.771284
16,0.859261
17,0.872612
18,0.757933
19,0.7236
20,0.749111
21,1.008987
22,0.836134
23,0.899792
24,1.277685
25,1.224279
26,1.241207
27,1.163483
28,1.182556
29,1.161814
30,1.101494
31,1.092911
32,1.185656
33,1.373291
34,1.631498
35,1.715899
36,1.996517
37,1.72019
38,1.652718
39,1.605511
40,1.588583
41,1.599073
42,1.567841
43,1.559496
44,1.548767
45,1.330376
46,2.003431
47,1.318216
48,1.163483
49,0.659704
