test#,time
0,2.740383
1,2.13933
2,1.947403
3,2.246618
4,3.066063
5,2.201319
6,2.210855
7,1.99008
8,2.463102
9,2.268791
10,2.214432
11,2.344131
12,2.395153
13,2.044201
14,1.952887
15,1.93572
16,1.961946
17,1.973391
18,1.899242
19,2.093792
20,2.204418
21,2.006292
22,2.170086
23,1.955986
24,2.025604
25,2.332449
26,1.983404
27,2.186298
28,2.094269
29,1.927614
30,2.368212
31,2.218246
32,1.866817
33,1.960039
34,1.945019
35,2.062082
36,1.934052
37,2.270222
38,1.881838
39,1.909971
40,1.974821
41,1.964331
42,1.807451
43,2.103806
44,1.954556
45,5.110502
46,2.054214
47,2.083302
48,1.901388
49,2.097845
