test#,time
0,0.813484
1,0.975847
2,0.995636
3,1.119375
4,0.974417
5,1.06287
6,0.954866
7,1.173496
8,1.201391
9,1.185417
10,1.20616
11,1.286745
12,1.218796
13,1.347065
14,1.569271
15,1.553535
16,0.908852
17,1.070738
18,1.101017
19,1.54233
20,1.014471
21,1.174688
22,1.052141
23,1.129627
24,1.123428
25,1.137495
26,1.087427
27,1.006603
28,1.015186
29,0.969648
30,1.091719
31,1.051664
32,1.066446
33,1.055002
34,1.056671
35,1.03426
36,1.191139
37,1.573563
38,1.532555
39,1.03426
40,1.020193
41,1.114607
42,1.007795
43,0.982761
44,0.973225
45,0.903606
46,0.807524
47,0.791788
48,0.794411
49,0.843763
