test#,time
0,1.756191
1,1.802921
2,1.644373
3,1.494646
4,1.54686
5,2.523661
6,2.935886
7,2.049446
8,1.930714
9,1.866102
10,1.941442
11,1.930475
12,2.075672
13,1.941681
14,2.06542
15,1.973629
16,2.021313
17,2.382994
18,1.914501
19,1.979828
20,1.930237
21,1.886845
22,1.87254
23,1.890898
24,2.30813
25,1.891851
26,1.848936
27,2.106667
28,2.107859
29,1.940012
30,1.882553
31,1.842976
32,1.667738
33,1.585245
34,1.866579
35,1.97053
36,1.98102
37,1.661301
38,1.498938
39,1.46842
40,1.456738
41,1.480818
42,1.884937
43,1.466274
44,1.488924
45,1.471519
46,1.54376
47,1.612902
48,1.490116
49,1.91927
