test#,time
0,1.362801
1,1.390696
2,1.668215
3,1.708031
4,1.749992
5,1.716852
6,1.839638
7,2.08354
8,1.99604
9,1.957417
10,2.184629
11,1.674652
12,1.413345
13,1.479149
14,1.476765
15,1.869202
16,1.843929
17,1.508713
18,1.845598
19,2.011538
20,2.166271
21,1.691103
22,1.733303
23,1.784086
24,1.888037
25,1.7519
26,1.774311
27,1.667976
28,1.639843
29,1.747847
30,1.676321
31,1.699924
32,1.655579
33,1.795292
34,1.700878
35,1.653671
36,1.689196
37,1.612186
38,1.679659
39,1.648903
40,1.666307
41,1.643896
42,1.636744
43,1.684427
44,1.715183
45,1.689672
46,1.777172
47,1.665354
48,1.649857
49,1.650572
