test#,time
0,0.062227
1,0.047922
2,0.042677
3,0.04077
4,0.039577
5,0.039101
6,0.03767
7,0.037909
8,0.037909
9,0.042915
10,0.038147
11,0.037432
12,0.036716
13,0.036955
14,0.036955
15,0.036955
16,0.036478
17,0.036955
18,0.036716
19,0.036478
20,0.036716
21,0.036955
22,0.036955
23,0.03767
24,0.037432
25,0.036716
26,0.036478
27,0.036716
28,0.03624
29,0.036716
30,0.036955
31,0.036478
32,0.036716
33,0.03624
34,0.036478
35,0.03624
36,0.036716
37,0.03624
38,0.036955
39,0.036716
40,0.036478
41,0.03624
42,0.036478
43,0.036001
44,0.036001
45,0.036478
46,0.036478
47,0.03624
48,0.036001
49,0.03624
