test#,time
0,1.33276
1,1.063347
2,2.051115
3,1.865387
4,1.960993
5,3.295183
6,2.091646
7,1.904488
8,1.648426
9,1.93572
10,1.85585
11,3.021479
12,1.794338
13,2.427816
14,1.908541
15,1.717091
16,1.758099
17,1.907587
18,1.775026
19,2.268314
20,1.902819
21,1.855373
22,1.758337
23,1.785755
24,1.636267
25,1.41716
26,1.910925
27,1.755714
28,3.152132
29,1.893759
30,1.778841
31,1.717091
32,1.803875
33,1.731396
34,1.625061
35,1.802444
36,1.747131
37,1.77598
38,1.778364
39,1.687288
40,1.609802
41,1.909733
42,1.717329
43,1.629591
44,1.941204
45,1.80912
46,1.769304
47,1.964808
48,1.727581
49,1.787424
