test#,time
0,1.607418
1,0.960112
2,0.855207
3,0.809669
4,0.799894
5,0.789404
6,0.891209
7,0.849485
8,0.899315
9,0.861406
10,2.381086
11,1.927137
12,2.382517
13,2.171516
14,2.425194
15,2.371788
16,2.11072
17,2.296209
18,2.129555
19,1.921654
20,1.851559
21,1.785517
22,1.950264
23,1.863003
24,1.906872
25,1.898527
26,1.852274
27,1.936913
28,1.882792
29,1.913786
30,1.844883
31,2.117395
32,1.966476
33,2.016068
34,2.028942
35,1.955032
36,2.024412
37,2.01273
38,1.791
39,1.986265
40,4.450083
41,2.131701
42,2.031565
43,1.86491
44,1.865149
45,2.23875
46,1.928806
47,2.015829
48,1.932144
49,1.999378
