test#,time
0,0.662327
1,0.542402
2,0.486374
3,0.562668
4,0.566721
5,0.544786
6,0.542641
7,0.570297
8,0.508785
9,0.518084
10,0.514984
11,0.706434
12,0.859022
13,0.720978
14,0.668049
15,0.642061
16,0.677824
17,0.607491
18,0.628471
19,0.670433
20,0.645876
21,0.652552
22,0.755787
23,0.774384
24,0.994205
25,0.778437
26,0.756979
27,0.587225
28,0.547409
29,0.523567
30,0.622272
31,0.630617
32,0.876427
33,0.839233
34,0.832796
35,0.879049
36,0.772476
37,0.815868
38,0.765085
39,0.819921
40,0.786543
41,0.815153
42,0.767231
43,0.808716
44,0.817299
45,0.785828
46,0.775576
47,0.83065
48,0.834227
49,0.946045
