test#,time
0,0.647545
1,0.597477
2,0.547886
3,0.582457
4,0.595331
5,0.557661
6,0.538588
7,0.553846
8,0.552416
9,0.586271
10,0.700712
11,0.636339
12,0.71764
13,0.680208
14,0.715017
15,0.693798
16,0.859976
17,0.965834
18,0.775576
19,0.8111
20,0.70858
21,0.67997
22,0.706434
23,0.67234
24,0.704527
25,0.7267
26,0.742674
27,0.717163
28,0.735283
29,0.677824
30,0.678062
31,0.684977
32,0.813723
33,1.423836
34,1.121759
35,1.529217
36,1.204491
37,0.767469
38,1.155615
39,1.302481
40,1.084089
41,1.224995
42,1.394749
43,1.5378
44,1.293659
45,1.153708
46,0.840902
47,0.758648
48,0.755787
49,0.738859
