test#,time
0,2.146482
1,1.370668
2,1.170397
3,1.18351
4,1.083374
5,1.269341
6,1.154661
7,1.331091
8,1.221895
9,1.290798
10,1.80316
11,1.894474
12,1.411438
13,1.330614
14,1.735687
15,1.415014
16,1.386881
17,1.486063
18,1.20163
19,1.447916
20,1.481056
21,1.521111
22,1.348972
23,1.385212
24,1.266479
25,1.374006
26,1.548529
27,1.340866
28,1.498222
29,1.45936
30,1.698017
31,1.329899
32,1.35088
33,1.502275
34,1.791954
35,1.322746
36,1.296759
37,1.513958
38,1.30415
39,1.369238
40,1.285315
41,1.387119
42,1.294136
43,1.200676
44,1.313448
45,1.35994
46,1.390219
47,1.283884
48,1.220226
49,1.027584
