test#,time
0,1.082659
1,0.900507
2,0.989914
3,1.433849
4,0.955582
5,0.804186
6,0.756979
7,0.773907
8,0.710011
9,0.61202
10,0.659943
11,0.677347
12,0.938892
13,1.045227
14,0.862598
15,0.599861
16,0.627756
17,0.621796
18,0.649452
19,0.62418
20,0.671387
21,0.696182
22,0.749588
23,0.7658
24,0.610352
25,0.586271
26,0.505924
27,0.457525
28,0.933886
29,0.61202
30,0.62108
31,0.543356
32,0.487804
33,0.486374
34,0.468969
35,0.448704
36,0.445843
37,0.417471
38,0.466585
39,0.417709
40,0.421524
41,0.412464
42,0.420809
43,0.434875
44,0.418186
45,0.412703
46,0.42057
47,0.518799
48,0.619411
49,0.519514
