test#,time
0,0.088215
1,0.06032
2,0.054359
3,0.048876
4,0.044584
5,0.044346
6,0.041962
7,0.052691
8,0.048399
9,0.041485
10,0.040531
11,0.050545
12,0.041962
13,0.039101
14,0.038862
15,0.038862
16,0.038862
17,0.038862
18,0.038147
19,0.038385
20,0.038147
21,0.038624
22,0.038147
23,0.038147
24,0.038147
25,0.038385
26,0.038624
27,0.038385
28,0.038385
29,0.037909
30,0.037909
31,0.038385
32,0.037909
33,0.038147
34,0.038147
35,0.038147
36,0.050068
37,0.039339
38,0.038385
39,0.038385
40,0.038147
41,0.038385
42,0.038385
43,0.038147
44,0.038385
45,0.038147
46,0.038385
47,0.038624
48,0.038385
49,0.038385
